Typ gracza,Pieniądze na wstępie,Lekkomyślność,Rozrzutność,Minimalna oczekiwana ręka,Wynik_pieniężny_gra_1,Wynik_pieniężny_gra_2,Wynik_pieniężny_gra_3,Wynik_pieniężny_gra_4,Wynik_pieniężny_gra_5,Wynik_pieniężny_gra_6,Wynik_pieniężny_gra_7,Wynik_pieniężny_gra_8,Wynik_pieniężny_gra_9,Wynik_pieniężny_gra_10
AveragePlayer,500,0.1,0.1,High card,290,78,28,28,28,28,28,28,28,3
AveragePlayer,500,0.1,0.1,High card,1150,832,83,33,33,33,0,0,0,0
AveragePlayer,500,0.1,0.1,High card,1300,1111,2500,3100,3608,3633,3691,3766,3841,3865
AveragePlayer,500,0.1,0.1,One pair,1912,2942,3381,3456,3481,3556,3581,3607,3633,3658
AveragePlayer,500,0.1,0.1,One pair,212,62,12,12,12,12,12,0,0,0
AveragePlayer,500,0.1,0.1,One pair,1570,1301,647,597,520,189,139,69,44,0
AveragePlayer,500,0.1,0.1,Two pair,375,1000,2312,3012,3380,3625,3700,3741,3782,3807
AveragePlayer,500,0.1,0.1,Two pair,360,92,42,42,0,0,0,0,0,0
AveragePlayer,500,0.1,0.1,Two pair,275,225,175,125,75,25,0,0,0,0
AveragePlayer,500,0.1,0.1,Three-of-a-Kind,216,25,25,25,0,0,0,0,0,0
AveragePlayer,500,0.1,0.1,Three-of-a-Kind,300,90,40,40,15,0,0,0,0,0
AveragePlayer,500,0.1,0.1,Three-of-a-Kind,325,149,99,49,49,49,49,0,0,0
AveragePlayer,500,0.1,0.1,Straight,450,338,131,81,31,31,31,31,31,0
AveragePlayer,500,0.1,0.1,Straight,350,54,4,4,4,4,4,0,0,0
AveragePlayer,500,0.1,0.1,Straight,350,133,83,33,33,33,8,8,8,0
AveragePlayer,500,0.1,0.1,Flush,405,285,75,25,25,25,25,25,25,0
AveragePlayer,500,0.1,0.1,Flush,450,330,305,280,140,90,40,40,40,15
AveragePlayer,500,0.1,0.1,Flush,425,1225,1175,1907,1857,1807,1531,1271,983,114
AveragePlayer,500,0.1,0.1,Full house,450,350,350,95,45,45,20,20,20,20
AveragePlayer,500,0.1,0.1,Full house,450,240,240,215,165,140,90,40,40,40
AveragePlayer,500,0.1,0.1,Full house,450,400,350,350,350,300,250,200,150,100
AveragePlayer,500,0.1,0.1,Four-of-a-Kind,450,400,350,325,325,300,250,250,200,200
AveragePlayer,500,0.1,0.1,Four-of-a-Kind,450,400,350,350,350,300,250,250,200,200
AveragePlayer,500,0.1,0.1,Four-of-a-Kind,450,400,350,325,275,225,225,225,225,175
AveragePlayer,500,0.1,0.1,Straight flush,450,400,350,300,300,300,300,250,200,200
AveragePlayer,500,0.1,0.1,Straight flush,450,400,350,300,275,275,275,250,225,225
AveragePlayer,500,0.1,0.1,Straight flush,425,375,350,350,300,300,250,250,250,250
AveragePlayer,500,0.1,0.5,High card,2175,2250,2325,2350,0,0,0,0,0,0
AveragePlayer,500,0.1,0.5,High card,1137,285,235,185,135,85,35,35,35,35
AveragePlayer,500,0.1,0.5,High card,71,21,21,21,21,0,0,0,0,0
AveragePlayer,500,0.1,0.5,One pair,176,126,76,26,26,26,26,26,26,26
AveragePlayer,500,0.1,0.5,One pair,136,86,36,36,11,11,11,11,0,0
AveragePlayer,500,0.1,0.5,One pair,65,40,40,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.5,Two pair,250,200,113,63,13,13,13,0,0,0
AveragePlayer,500,0.1,0.5,Two pair,2375,2450,2525,2600,2625,2700,0,0,0,0
AveragePlayer,500,0.1,0.5,Two pair,214,164,114,64,14,14,0,0,0,0
AveragePlayer,500,0.1,0.5,Three-of-a-Kind,250,200,132,82,32,32,32,32,32,32
AveragePlayer,500,0.1,0.5,Three-of-a-Kind,375,282,232,182,132,62,12,0,0,0
AveragePlayer,500,0.1,0.5,Three-of-a-Kind,65,15,15,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.5,Straight,350,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.5,Straight,375,244,194,144,94,44,44,44,44,44
AveragePlayer,500,0.1,0.5,Straight,355,267,217,167,117,67,17,17,17,17
AveragePlayer,500,0.1,0.5,Flush,425,282,212,162,112,42,17,17,0,0
AveragePlayer,500,0.1,0.5,Flush,350,138,88,38,38,38,13,13,0,0
AveragePlayer,500,0.1,0.5,Flush,338,288,238,188,88,38,38,38,13,0
AveragePlayer,500,0.1,0.5,Full house,450,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.5,Full house,450,400,350,300,250,188,138,88,38,38
AveragePlayer,500,0.1,0.5,Full house,450,400,350,300,102,52,2,2,2,2
AveragePlayer,500,0.1,0.5,Four-of-a-Kind,450,400,350,300,250,200,150,100,50,50
AveragePlayer,500,0.1,0.5,Four-of-a-Kind,450,400,350,263,213,163,113,63,13,13
AveragePlayer,500,0.1,0.5,Four-of-a-Kind,450,338,288,238,188,138,88,38,13,13
AveragePlayer,500,0.1,0.5,Straight flush,375,325,275,225,175,125,75,25,25,25
AveragePlayer,500,0.1,0.5,Straight flush,450,375,325,275,200,150,100,50,0,0
AveragePlayer,500,0.1,0.5,Straight flush,450,400,350,300,250,200,150,100,50,50
AveragePlayer,500,0.1,0.9,High card,10,10,10,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,High card,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,High card,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,One pair,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,One pair,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,One pair,242,26,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Two pair,50,25,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Two pair,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Two pair,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Three-of-a-Kind,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Three-of-a-Kind,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Three-of-a-Kind,50,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Straight,250,124,74,24,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Straight,0,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Straight,223,123,73,23,23,23,23,0,0,0
AveragePlayer,500,0.1,0.9,Flush,262,0,0,0,0,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Flush,275,152,102,52,2,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Flush,237,103,53,53,3,3,3,0,0,0
AveragePlayer,500,0.1,0.9,Full house,275,225,23,23,23,23,23,23,23,23
AveragePlayer,500,0.1,0.9,Full house,225,124,69,19,19,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Full house,450,46,46,21,21,0,0,0,0,0
AveragePlayer,500,0.1,0.9,Four-of-a-Kind,450,400,350,300,250,200,150,100,50,25
AveragePlayer,500,0.1,0.9,Four-of-a-Kind,275,225,175,125,75,25,25,25,25,0
AveragePlayer,500,0.1,0.9,Four-of-a-Kind,450,400,170,120,70,70,70,20,20,20
AveragePlayer,500,0.1,0.9,Straight flush,450,400,350,300,250,200,150,100,50,0
AveragePlayer,500,0.1,0.9,Straight flush,425,375,325,275,225,175,83,58,8,0
AveragePlayer,500,0.1,0.9,Straight flush,375,275,152,102,52,52,2,2,2,0
AveragePlayer,500,0.5,0.1,High card,275,225,175,125,75,25,25,0,0,0
AveragePlayer,500,0.5,0.1,High card,350,925,1565,2291,2849,3063,3129,3204,3279,3329
AveragePlayer,500,0.5,0.1,High card,1275,1125,2130,2972,3448,3704,3779,3844,3883,3931
AveragePlayer,500,0.5,0.1,One pair,290,140,90,40,40,40,0,0,0,0
AveragePlayer,500,0.5,0.1,One pair,290,128,78,28,28,28,3,0,0,0
