Typ gracza,Pieniądze na wstępie,Lekkomyślność,Rozrzutność,Minimalna oczekiwana ręka,Wynik_pieniężny_gra_1,Wynik_pieniężny_gra_2,Wynik_pieniężny_gra_3,Wynik_pieniężny_gra_4,Wynik_pieniężny_gra_5,Wynik_pieniężny_gra_6,Wynik_pieniężny_gra_7,Wynik_pieniężny_gra_8,Wynik_pieniężny_gra_9,Wynik_pieniężny_gra_10
CautiousPlayer,500,0.1,0.1,High card,683,377,5,5,5,5,5,5,5,0
CautiousPlayer,500,0.1,0.1,High card,1375,2209,3494,3569,3619,3659,3684,3727,3802,3861
CautiousPlayer,500,0.1,0.1,High card,152,32,32,0,0,0,0,0,0,0
CautiousPlayer,500,0.1,0.1,One pair,1025,1675,3157,3406,3431,3481,3556,3556,3606,3656
CautiousPlayer,500,0.1,0.1,One pair,275,65,15,15,15,15,0,0,0,0
CautiousPlayer,500,0.1,0.1,One pair,275,125,25,25,25,0,0,0,0,0
CautiousPlayer,500,0.1,0.1,Two pair,350,300,51,26,26,26,26,1,1,0
CautiousPlayer,500,0.1,0.1,Two pair,1300,982,832,0,0,0,0,0,0,0
CautiousPlayer,500,0.1,0.1,Two pair,275,225,175,125,75,25,25,25,0,0
CautiousPlayer,500,0.1,0.1,Three-of-a-Kind,350,875,416,366,316,266,216,166,116,66
CautiousPlayer,500,0.1,0.1,Three-of-a-Kind,1575,2620,3506,3581,3624,3649,3724,3772,3812,3852
CautiousPlayer,500,0.1,0.1,Three-of-a-Kind,2163,1839,2281,1798,2179,1486,1930,2791,3126,3357
CautiousPlayer,500,0.1,0.1,Straight,149,99,49,49,49,49,24,0,0,0
CautiousPlayer,500,0.1,0.1,Straight,215,5,5,5,5,5,5,5,0,0
CautiousPlayer,500,0.1,0.1,Straight,1275,1026,2141,2801,3221,3563,3791,3841,3895,3897
CautiousPlayer,500,0.1,0.1,Flush,350,200,130,80,80,30,30,30,5,5
CautiousPlayer,500,0.1,0.1,Flush,1425,1269,2104,2994,3509,3745,3820,3982,3982,3989
CautiousPlayer,500,0.1,0.1,Flush,450,70,20,20,20,20,20,20,20,20
CautiousPlayer,500,0.1,0.1,Full house,1025,872,822,219,219,169,119,69,19,19
CautiousPlayer,500,0.1,0.1,Full house,450,400,350,300,275,675,625,88,38,38
CautiousPlayer,500,0.1,0.1,Full house,1350,1300,1250,1200,1744,1694,2793,3284,3134,3308
CautiousPlayer,500,0.1,0.1,Four-of-a-Kind,275,225,225,225,225,200,175,175,175,175
CautiousPlayer,500,0.1,0.1,Four-of-a-Kind,975,925,875,1550,2266,2745,2376,2800,3013,3332
