Local Time (Sensor),Date,Time,countlineName,direction,Car,Pedestrian,Cyclist,Motorbike,Bus,OGV1,OGV2,LGV
03/06/2019 01:00,03/06/2019,01:00:00,S16_PerneRoad_CAM003,in,22,0,1,0,0,0,0,2
03/06/2019 01:00,03/06/2019,01:00:00,S16_PerneRoad_CAM003,out,34,0,0,0,1,0,0,1
03/06/2019 02:00,03/06/2019,02:00:00,S16_PerneRoad_CAM003,in,36,0,0,0,0,1,1,2
03/06/2019 02:00,03/06/2019,02:00:00,S16_PerneRoad_CAM003,out,20,1,0,0,0,0,0,1
03/06/2019 03:00,03/06/2019,03:00:00,S16_PerneRoad_CAM003,in,9,0,0,1,0,1,0,1
03/06/2019 03:00,03/06/2019,03:00:00,S16_PerneRoad_CAM003,out,41,1,0,0,0,0,0,3
03/06/2019 04:00,03/06/2019,04:00:00,S16_PerneRoad_CAM003,in,25,1,1,0,0,1,0,5
03/06/2019 04:00,03/06/2019,04:00:00,S16_PerneRoad_CAM003,out,15,7,1,0,0,0,0,4
03/06/2019 05:00,03/06/2019,05:00:00,S16_PerneRoad_CAM003,in,62,1,5,1,0,0,1,10
03/06/2019 05:00,03/06/2019,05:00:00,S16_PerneRoad_CAM003,out,82,5,1,0,0,0,1,8
03/06/2019 06:00,03/06/2019,06:00:00,S16_PerneRoad_CAM003,in,187,7,8,2,1,2,2,33
03/06/2019 06:00,03/06/2019,06:00:00,S16_PerneRoad_CAM003,out,307,14,23,4,7,9,0,40
03/06/2019 07:00,03/06/2019,07:00:00,S16_PerneRoad_CAM003,in,411,10,38,2,3,6,3,81
03/06/2019 07:00,03/06/2019,07:00:00,S16_PerneRoad_CAM003,out,612,67,69,10,6,10,2,97
03/06/2019 08:00,03/06/2019,08:00:00,S16_PerneRoad_CAM003,in,573,26,49,2,8,7,2,73
03/06/2019 08:00,03/06/2019,08:00:00,S16_PerneRoad_CAM003,out,662,139,153,7,9,5,5,83
03/06/2019 09:00,03/06/2019,09:00:00,S16_PerneRoad_CAM003,in,561,19,26,2,7,10,3,81
03/06/2019 09:00,03/06/2019,09:00:00,S16_PerneRoad_CAM003,out,495,34,44,7,5,10,2,77
03/06/2019 10:00,03/06/2019,10:00:00,S16_PerneRoad_CAM003,in,533,10,16,2,4,13,4,77
03/06/2019 10:00,03/06/2019,10:00:00,S16_PerneRoad_CAM003,out,531,31,26,6,7,15,3,95
03/06/2019 11:00,03/06/2019,11:00:00,S16_PerneRoad_CAM003,in,539,15,11,6,8,9,0,90
03/06/2019 11:00,03/06/2019,11:00:00,S16_PerneRoad_CAM003,out,521,32,8,3,9,12,1,102
03/06/2019 12:00,03/06/2019,12:00:00,S16_PerneRoad_CAM003,in,546,14,19,5,9,10,3,84
03/06/2019 12:00,03/06/2019,12:00:00,S16_PerneRoad_CAM003,out,588,36,16,5,8,9,1,93
03/06/2019 13:00,03/06/2019,13:00:00,S16_PerneRoad_CAM003,in,478,10,20,7,5,10,3,86
03/06/2019 13:00,03/06/2019,13:00:00,S16_PerneRoad_CAM003,out,590,29,12,6,7,9,0,90
03/06/2019 14:00,03/06/2019,14:00:00,S16_PerneRoad_CAM003,in,538,18,23,5,5,8,2,81
03/06/2019 14:00,03/06/2019,14:00:00,S16_PerneRoad_CAM003,out,632,18,23,5,4,10,1,79
03/06/2019 15:00,03/06/2019,15:00:00,S16_PerneRoad_CAM003,in,575,44,70,5,8,3,4,93
03/06/2019 15:00,03/06/2019,15:00:00,S16_PerneRoad_CAM003,out,699,23,23,8,6,11,1,83
03/06/2019 16:00,03/06/2019,16:00:00,S16_PerneRoad_CAM003,in,614,21,48,9,5,0,0,78
03/06/2019 16:00,03/06/2019,16:00:00,S16_PerneRoad_CAM003,out,629,28,32,3,7,3,0,63
03/06/2019 17:00,03/06/2019,17:00:00,S16_PerneRoad_CAM003,in,637,41,64,7,4,2,0,41
03/06/2019 17:00,03/06/2019,17:00:00,S16_PerneRoad_CAM003,out,608,35,45,14,3,1,2,64
03/06/2019 18:00,03/06/2019,18:00:00,S16_PerneRoad_CAM003,in,602,28,90,13,5,0,0,32
03/06/2019 18:00,03/06/2019,18:00:00,S16_PerneRoad_CAM003,out,683,38,51,10,5,4,1,31
03/06/2019 19:00,03/06/2019,19:00:00,S16_PerneRoad_CAM003,in,500,21,69,7,5,1,0,30
03/06/2019 19:00,03/06/2019,19:00:00,S16_PerneRoad_CAM003,out,521,37,35,4,2,0,0,31
03/06/2019 20:00,03/06/2019,20:00:00,S16_PerneRoad_CAM003,in,399,10,47,7,2,1,0,24
03/06/2019 20:00,03/06/2019,20:00:00,S16_PerneRoad_CAM003,out,413,31,22,8,4,0,0,17
03/06/2019 21:00,03/06/2019,21:00:00,S16_PerneRoad_CAM003,in,235,2,15,5,3,1,0,21
03/06/2019 21:00,03/06/2019,21:00:00,S16_PerneRoad_CAM003,out,277,24,5,4,2,0,0,19
03/06/2019 22:00,03/06/2019,22:00:00,S16_PerneRoad_CAM003,in,178,2,4,9,1,1,0,8
03/06/2019 22:00,03/06/2019,22:00:00,S16_PerneRoad_CAM003,out,216,29,1,6,1,0,0,6
03/06/2019 23:00,03/06/2019,23:00:00,S16_PerneRoad_CAM003,in,92,0,7,3,0,0,0,8
03/06/2019 23:00,03/06/2019,23:00:00,S16_PerneRoad_CAM003,out,134,14,1,2,0,0,0,2
04/06/2019 00:00,04/06/2019,00:00:00,S16_PerneRoad_CAM003,in,54,3,1,1,0,0,0,6
04/06/2019 00:00,04/06/2019,00:00:00,S16_PerneRoad_CAM003,out,44,7,0,0,0,0,0,2
04/06/2019 01:00,04/06/2019,01:00:00,S16_PerneRoad_CAM003,in,36,0,0,0,0,1,0,2
04/06/2019 01:00,04/06/2019,01:00:00,S16_PerneRoad_CAM003,out,19,1,0,0,1,1,0,2
04/06/2019 02:00,04/06/2019,02:00:00,S16_PerneRoad_CAM003,in,20,0,1,0,0,0,0,1
04/06/2019 02:00,04/06/2019,02:00:00,S16_PerneRoad_CAM003,out,16,0,0,0,0,0,0,0
04/06/2019 03:00,04/06/2019,03:00:00,S16_PerneRoad_CAM003,in,16,1,1,0,1,0,0,3
04/06/2019 03:00,04/06/2019,03:00:00,S16_PerneRoad_CAM003,out,26,1,0,0,0,0,0,3
04/06/2019 04:00,04/06/2019,04:00:00,S16_PerneRoad_CAM003,in,30,2,3,1,0,2,1,2
04/06/2019 04:00,04/06/2019,04:00:00,S16_PerneRoad_CAM003,out,25,4,2,0,0,0,0,4
04/06/2019 05:00,04/06/2019,05:00:00,S16_PerneRoad_CAM003,in,60,0,4,0,0,3,0,8
04/06/2019 05:00,04/06/2019,05:00:00,S16_PerneRoad_CAM003,out,77,2,6,0,0,2,5,19
04/06/2019 06:00,04/06/2019,06:00:00,S16_PerneRoad_CAM003,in,269,3,19,6,1,4,3,29
04/06/2019 06:00,04/06/2019,06:00:00,S16_PerneRoad_CAM003,out,326,20,29,5,4,4,1,49
04/06/2019 07:00,04/06/2019,07:00:00,S16_PerneRoad_CAM003,in,433,6,48,7,4,11,3,76
04/06/2019 07:00,04/06/2019,07:00:00,S16_PerneRoad_CAM003,out,664,61,90,6,5,14,0,93
04/06/2019 08:00,04/06/2019,08:00:00,S16_PerneRoad_CAM003,in,536,26,48,6,5,7,4,69
04/06/2019 08:00,04/06/2019,08:00:00,S16_PerneRoad_CAM003,out,693,139,160,12,7,8,5,78
04/06/2019 09:00,04/06/2019,09:00:00,S16_PerneRoad_CAM003,in,579,24,34,2,9,6,3,70
04/06/2019 09:00,04/06/2019,09:00:00,S16_PerneRoad_CAM003,out,533,40,61,5,4,8,1,112
04/06/2019 10:00,04/06/2019,10:00:00,S16_PerneRoad_CAM003,in,520,20,20,6,7,14,2,83
04/06/2019 10:00,04/06/2019,10:00:00,S16_PerneRoad_CAM003,out,581,40,17,4,5,11,1,81
04/06/2019 11:00,04/06/2019,11:00:00,S16_PerneRoad_CAM003,in,538,20,24,10,4,15,1,111
04/06/2019 11:00,04/06/2019,11:00:00,S16_PerneRoad_CAM003,out,638,39,14,10,4,11,2,108
04/06/2019 12:00,04/06/2019,12:00:00,S16_PerneRoad_CAM003,in,536,14,39,5,6,12,1,107
04/06/2019 12:00,04/06/2019,12:00:00,S16_PerneRoad_CAM003,out,614,19,25,7,6,8,0,97
04/06/2019 13:00,04/06/2019,13:00:00,S16_PerneRoad_CAM003,in,543,13,25,9,4,7,1,95
04/06/2019 13:00,04/06/2019,13:00:00,S16_PerneRoad_CAM003,out,588,17,18,4,6,12,0,111
04/06/2019 14:00,04/06/2019,14:00:00,S16_PerneRoad_CAM003,in,520,14,31,1,8,12,2,99
04/06/2019 14:00,04/06/2019,14:00:00,S16_PerneRoad_CAM003,out,628,18,15,5,5,15,1,91
04/06/2019 15:00,04/06/2019,15:00:00,S16_PerneRoad_CAM003,in,595,33,74,10,10,3,2,95
04/06/2019 15:00,04/06/2019,15:00:00,S16_PerneRoad_CAM003,out,668,19,29,7,7,6,3,79
04/06/2019 16:00,04/06/2019,16:00:00,S16_PerneRoad_CAM003,in,563,22,63,9,8,4,0,77
04/06/2019 16:00,04/06/2019,16:00:00,S16_PerneRoad_CAM003,out,608,48,30,14,4,2,3,57
04/06/2019 17:00,04/06/2019,17:00:00,S16_PerneRoad_CAM003,in,631,29,82,10,4,4,1,34
04/06/2019 17:00,04/06/2019,17:00:00,S16_PerneRoad_CAM003,out,643,32,40,10,4,0,3,43
04/06/2019 18:00,04/06/2019,18:00:00,S16_PerneRoad_CAM003,in,631,23,66,7,4,1,1,36
04/06/2019 18:00,04/06/2019,18:00:00,S16_PerneRoad_CAM003,out,697,46,58,4,7,2,2,39
04/06/2019 19:00,04/06/2019,19:00:00,S16_PerneRoad_CAM003,in,502,15,45,7,7,1,1,31
04/06/2019 19:00,04/06/2019,19:00:00,S16_PerneRoad_CAM003,out,543,43,21,4,2,0,0,37
04/06/2019 20:00,04/06/2019,20:00:00,S16_PerneRoad_CAM003,in,394,16,37,7,4,0,0,28
04/06/2019 20:00,04/06/2019,20:00:00,S16_PerneRoad_CAM003,out,378,22,8,3,6,1,0,22
04/06/2019 21:00,04/06/2019,21:00:00,S16_PerneRoad_CAM003,in,257,9,8,2,2,2,0,16
04/06/2019 21:00,04/06/2019,21:00:00,S16_PerneRoad_CAM003,out,290,20,1,1,2,0,0,13
04/06/2019 22:00,04/06/2019,22:00:00,S16_PerneRoad_CAM003,in,187,1,4,7,2,1,0,12
04/06/2019 22:00,04/06/2019,22:00:00,S16_PerneRoad_CAM003,out,218,10,0,5,1,2,0,4
04/06/2019 23:00,04/06/2019,23:00:00,S16_PerneRoad_CAM003,in,93,0,1,6,0,0,0,6
04/06/2019 23:00,04/06/2019,23:00:00,S16_PerneRoad_CAM003,out,105,4,1,2,0,1,0,3
05/06/2019 00:00,05/06/2019,00:00:00,S16_PerneRoad_CAM003,in,39,1,2,0,0,2,0,4
05/06/2019 00:00,05/06/2019,00:00:00,S16_PerneRoad_CAM003,out,37,2,0,0,0,0,0,3
05/06/2019 01:00,05/06/2019,01:00:00,S16_PerneRoad_CAM003,in,26,0,0,0,0,0,0,3
05/06/2019 01:00,05/06/2019,01:00:00,S16_PerneRoad_CAM003,out,26,1,0,0,1,1,0,3
05/06/2019 02:00,05/06/2019,02:00:00,S16_PerneRoad_CAM003,in,11,0,0,1,0,2,1,3
05/06/2019 02:00,05/06/2019,02:00:00,S16_PerneRoad_CAM003,out,7,0,0,0,0,0,0,0
05/06/2019 03:00,05/06/2019,03:00:00,S16_PerneRoad_CAM003,in,14,0,1,0,0,1,0,2
05/06/2019 03:00,05/06/2019,03:00:00,S16_PerneRoad_CAM003,out,25,0,0,1,0,0,0,2
05/06/2019 04:00,05/06/2019,04:00:00,S16_PerneRoad_CAM003,in,15,1,3,1,0,0,0,1
05/06/2019 04:00,05/06/2019,04:00:00,S16_PerneRoad_CAM003,out,26,5,2,1,0,1,0,10
05/06/2019 05:00,05/06/2019,05:00:00,S16_PerneRoad_CAM003,in,68,1,4,1,0,5,0,9
05/06/2019 05:00,05/06/2019,05:00:00,S16_PerneRoad_CAM003,out,84,4,2,0,0,1,2,16
05/06/2019 06:00,05/06/2019,06:00:00,S16_PerneRoad_CAM003,in,202,3,15,4,2,4,1,36
05/06/2019 06:00,05/06/2019,06:00:00,S16_PerneRoad_CAM003,out,317,20,18,4,3,3,2,55
05/06/2019 07:00,05/06/2019,07:00:00,S16_PerneRoad_CAM003,in,431,6,35,1,4,3,4,78
05/06/2019 07:00,05/06/2019,07:00:00,S16_PerneRoad_CAM003,out,638,78,59,3,9,6,2,107
05/06/2019 08:00,05/06/2019,08:00:00,S16_PerneRoad_CAM003,in,545,28,47,3,6,10,4,76
05/06/2019 08:00,05/06/2019,08:00:00,S16_PerneRoad_CAM003,out,678,120,150,7,9,6,4,80
05/06/2019 09:00,05/06/2019,09:00:00,S16_PerneRoad_CAM003,in,568,17,23,0,8,10,1,87
05/06/2019 09:00,05/06/2019,09:00:00,S16_PerneRoad_CAM003,out,541,35,39,2,5,10,3,94
05/06/2019 10:00,05/06/2019,10:00:00,S16_PerneRoad_CAM003,in,492,10,16,3,5,14,2,81
05/06/2019 10:00,05/06/2019,10:00:00,S16_PerneRoad_CAM003,out,484,24,13,4,8,9,0,92
05/06/2019 11:00,05/06/2019,11:00:00,S16_PerneRoad_CAM003,in,494,20,13,4,10,9,4,102
05/06/2019 11:00,05/06/2019,11:00:00,S16_PerneRoad_CAM003,out,542,33,15,6,8,13,3,89
05/06/2019 12:00,05/06/2019,12:00:00,S16_PerneRoad_CAM003,in,521,15,31,7,7,15,2,84
05/06/2019 12:00,05/06/2019,12:00:00,S16_PerneRoad_CAM003,out,587,26,30,5,7,11,0,97
05/06/2019 13:00,05/06/2019,13:00:00,S16_PerneRoad_CAM003,in,515,9,25,14,6,11,3,82
05/06/2019 13:00,05/06/2019,13:00:00,S16_PerneRoad_CAM003,out,596,25,19,6,5,8,4,69
05/06/2019 14:00,05/06/2019,14:00:00,S16_PerneRoad_CAM003,in,578,16,20,0,6,9,1,82
05/06/2019 14:00,05/06/2019,14:00:00,S16_PerneRoad_CAM003,out,619,22,19,13,6,4,1,93
05/06/2019 15:00,05/06/2019,15:00:00,S16_PerneRoad_CAM003,in,595,32,99,7,12,2,1,85
05/06/2019 15:00,05/06/2019,15:00:00,S16_PerneRoad_CAM003,out,656,31,42,10,9,5,1,69
05/06/2019 16:00,05/06/2019,16:00:00,S16_PerneRoad_CAM003,in,640,24,81,9,4,4,1,79
05/06/2019 16:00,05/06/2019,16:00:00,S16_PerneRoad_CAM003,out,638,51,27,6,8,4,1,72
05/06/2019 17:00,05/06/2019,17:00:00,S16_PerneRoad_CAM003,in,621,33,73,15,5,2,2,55
05/06/2019 17:00,05/06/2019,17:00:00,S16_PerneRoad_CAM003,out,708,38,31,11,4,3,1,51
05/06/2019 18:00,05/06/2019,18:00:00,S16_PerneRoad_CAM003,in,650,28,72,10,7,1,0,55
05/06/2019 18:00,05/06/2019,18:00:00,S16_PerneRoad_CAM003,out,647,43,44,6,5,1,0,37
05/06/2019 19:00,05/06/2019,19:00:00,S16_PerneRoad_CAM003,in,575,14,65,8,5,0,0,32
05/06/2019 19:00,05/06/2019,19:00:00,S16_PerneRoad_CAM003,out,570,39,38,5,4,0,0,25
05/06/2019 20:00,05/06/2019,20:00:00,S16_PerneRoad_CAM003,in,436,13,43,9,3,0,0,17
05/06/2019 20:00,05/06/2019,20:00:00,S16_PerneRoad_CAM003,out,452,30,25,13,4,0,0,23
05/06/2019 21:00,05/06/2019,21:00:00,S16_PerneRoad_CAM003,in,278,5,20,8,2,2,0,20
05/06/2019 21:00,05/06/2019,21:00:00,S16_PerneRoad_CAM003,out,327,21,5,5,3,1,0,6
05/06/2019 22:00,05/06/2019,22:00:00,S16_PerneRoad_CAM003,in,181,4,5,6,2,1,0,8
05/06/2019 22:00,05/06/2019,22:00:00,S16_PerneRoad_CAM003,out,216,9,3,6,0,0,0,3
05/06/2019 23:00,05/06/2019,23:00:00,S16_PerneRoad_CAM003,in,88,0,0,4,0,0,2,7
05/06/2019 23:00,05/06/2019,23:00:00,S16_PerneRoad_CAM003,out,117,4,0,1,0,0,0,5
06/06/2019 00:00,06/06/2019,00:00:00,S16_PerneRoad_CAM003,in,50,0,1,0,0,2,0,7
06/06/2019 00:00,06/06/2019,00:00:00,S16_PerneRoad_CAM003,out,53,2,1,0,2,1,0,2
06/06/2019 01:00,06/06/2019,01:00:00,S16_PerneRoad_CAM003,in,32,0,1,0,0,1,0,2
06/06/2019 01:00,06/06/2019,01:00:00,S16_PerneRoad_CAM003,out,25,0,0,0,0,1,0,1
06/06/2019 02:00,06/06/2019,02:00:00,S16_PerneRoad_CAM003,in,17,0,1,0,0,2,2,2
06/06/2019 02:00,06/06/2019,02:00:00,S16_PerneRoad_CAM003,out,25,1,1,0,0,0,0,3
06/06/2019 03:00,06/06/2019,03:00:00,S16_PerneRoad_CAM003,in,13,0,1,0,0,1,0,2
06/06/2019 03:00,06/06/2019,03:00:00,S16_PerneRoad_CAM003,out,29,1,0,0,0,0,0,2
06/06/2019 04:00,06/06/2019,04:00:00,S16_PerneRoad_CAM003,in,23,1,1,1,0,1,0,3
06/06/2019 04:00,06/06/2019,04:00:00,S16_PerneRoad_CAM003,out,38,5,1,0,0,2,0,8
06/06/2019 05:00,06/06/2019,05:00:00,S16_PerneRoad_CAM003,in,59,0,4,2,0,0,1,12
06/06/2019 05:00,06/06/2019,05:00:00,S16_PerneRoad_CAM003,out,76,3,3,1,0,0,1,14
06/06/2019 06:00,06/06/2019,06:00:00,S16_PerneRoad_CAM003,in,182,3,6,5,1,5,1,42
06/06/2019 06:00,06/06/2019,06:00:00,S16_PerneRoad_CAM003,out,313,19,13,2,4,1,7,49
06/06/2019 07:00,06/06/2019,07:00:00,S16_PerneRoad_CAM003,in,439,3,22,0,3,10,5,80
06/06/2019 07:00,06/06/2019,07:00:00,S16_PerneRoad_CAM003,out,673,71,40,0,7,3,1,101
06/06/2019 08:00,06/06/2019,08:00:00,S16_PerneRoad_CAM003,in,549,12,25,1,8,5,2,80
06/06/2019 08:00,06/06/2019,08:00:00,S16_PerneRoad_CAM003,out,688,138,90,3,8,5,1,91
06/06/2019 09:00,06/06/2019,09:00:00,S16_PerneRoad_CAM003,in,575,10,15,1,9,7,4,83
06/06/2019 09:00,06/06/2019,09:00:00,S16_PerneRoad_CAM003,out,586,40,30,0,11,7,1,82
06/06/2019 10:00,06/06/2019,10:00:00,S16_PerneRoad_CAM003,in,533,11,15,4,4,15,4,110
06/06/2019 10:00,06/06/2019,10:00:00,S16_PerneRoad_CAM003,out,533,30,25,6,9,10,3,87
06/06/2019 11:00,06/06/2019,11:00:00,S16_PerneRoad_CAM003,in,531,9,10,2,5,14,4,80
06/06/2019 11:00,06/06/2019,11:00:00,S16_PerneRoad_CAM003,out,608,33,15,3,9,8,0,97
06/06/2019 12:00,06/06/2019,12:00:00,S16_PerneRoad_CAM003,in,513,11,17,1,5,11,2,93
06/06/2019 12:00,06/06/2019,12:00:00,S16_PerneRoad_CAM003,out,572,33,9,6,8,11,0,102
06/06/2019 13:00,06/06/2019,13:00:00,S16_PerneRoad_CAM003,in,522,19,29,4,7,10,0,101
06/06/2019 13:00,06/06/2019,13:00:00,S16_PerneRoad_CAM003,out,573,23,19,5,3,9,1,89
06/06/2019 14:00,06/06/2019,14:00:00,S16_PerneRoad_CAM003,in,508,15,23,9,6,7,0,101
06/06/2019 14:00,06/06/2019,14:00:00,S16_PerneRoad_CAM003,out,586,38,24,6,6,8,3,82
06/06/2019 15:00,06/06/2019,15:00:00,S16_PerneRoad_CAM003,in,580,53,90,10,7,8,3,84
06/06/2019 15:00,06/06/2019,15:00:00,S16_PerneRoad_CAM003,out,639,48,39,4,8,5,1,92
06/06/2019 16:00,06/06/2019,16:00:00,S16_PerneRoad_CAM003,in,613,25,56,6,7,3,3,86
06/06/2019 16:00,06/06/2019,16:00:00,S16_PerneRoad_CAM003,out,633,41,30,2,6,6,0,68
06/06/2019 17:00,06/06/2019,17:00:00,S16_PerneRoad_CAM003,in,632,35,56,9,4,3,0,41
06/06/2019 17:00,06/06/2019,17:00:00,S16_PerneRoad_CAM003,out,683,52,38,6,5,1,0,60
06/06/2019 18:00,06/06/2019,18:00:00,S16_PerneRoad_CAM003,in,603,18,87,12,8,0,0,37
06/06/2019 18:00,06/06/2019,18:00:00,S16_PerneRoad_CAM003,out,679,56,33,2,5,2,0,45
